booking_id,booking_date,check_in,check_out,room_id,room_type,guests,nights,room_rate,revenue,booking_channel,booking_status,lead_time
SYN-B000080,2023-01-06,2023-02-03,2023-02-07,SYN-STA-08,Standard,2.0,4,70.09,280.36,Online travel agency,Completed,28
SYN-B000081,2023-01-30,2023-02-03,2023-02-11,SYN-DEL-02,Deluxe,1.0,8,99.67,797.36,Direct, completed ,4
SYN-B000082,2023-01-20,2023-02-03,2023-02-06,SYN-DEL-05,Deluxe,1.0,3,106.42,319.26,Direct,Completed,14
SYN-B000083,2023-01-22,2023-02-03,2023-02-05,SYN-FAM-01,Family,1.0,2,129.19,258.38,Travel agent,Completed,12
SYN-B000084,2023-01-14,2023-02-04,2023-02-05,SYN-STA-04, standard ,1.0,1,71.09,71.09,Direct,Completed,21
SYN-B000085,2023-01-24,2023-02-04,2023-02-06,SYN-STA-05,Standard,2.0,2,71.28,142.56,Online travel agency,Completed,11
SYN-B000086,2023-01-11,2023-02-04,2023-02-08,SYN-DEL-01,Deluxe,2.0,4,100.46,401.84,Direct,Completed,24
SYN-B000087,2023-01-25,2023-02-05,2023-02-07,SYN-STA-10,Standard,1.0,2,58.91,0.0,Online travel agency,Cancelled,11
SYN-B000088,2023-01-24,2023-02-05,2023-02-08,SYN-FAM-01,Family,1.0,3,120.91,362.73,Online travel agency,Completed,12
SYN-B000089,2023-01-22,2023-02-06,2023-02-09,SYN-STA-01,Standard,1.0,3,61.99,185.97,Online travel agency,Completed,15
SYN-B000090,2023-01-27,2023-02-06,2023-02-07,SYN-STA-05,Standard,1.0,1,61.49,61.49,Direct,Completed,10
SYN-B000091,2023-01-23,2023-02-06,2023-02-09,SYN-STA-09,Standard,2.0,3,59.95,179.85,Travel agent,Completed,14
SYN-B000092,2023-02-02,2023-02-07,2023-02-08,SYN-STA-03,Standard,1.0,1,61.64,61.64,Online travel agency,Completed,5
SYN-B000093,2023-02-03,2023-02-07,2023-02-08,SYN-FAM-03,Family,4.0,1,115.61,115.61,Online travel agency,Completed,4
SYN-B000094,2023-02-03,2023-02-08,2023-02-10,SYN-STA-05,Standard,2.0,2,59.26,118.52,Online travel agency,Completed,5
SYN-B000095,2023-02-01,2023-02-08,2023-02-11,SYN-STA-10,Standard,1.0,3,63.08,189.24,Direct,Completed,7
SYN-B000096,2023-02-05,2023-02-08,2023-02-09,SYN-DEL-04,Deluxe,1.0,1,87.55,0.0,Online travel agency,Cancelled,3
SYN-B000097,2023-01-31,2023-02-09,2023-02-11,SYN-STA-01,Standard,2.0,2,59.79,119.58,Online travel agency,Completed,9
SYN-B000098,2022-12-20,2023-02-09,2023-02-11,SYN-STA-09,Standard,2.0,2,61.19,122.38,Online travel agency,Completed,51
SYN-B000099,2023-01-08,2023-02-10,2023-02-11,SYN-DEL-03,Deluxe,2.0,1,103.03,103.03,Direct,Completed,33
SYN-B000100,2022-12-25,2023-02-10,2023-02-15,SYN-DEL-04,Deluxe,2.0,5,103.23,516.15,Direct,Completed,47
SYN-B000101,2022-12-18,2023-02-10,2023-02-11,SYN-DEL-05,Deluxe,1.0,1,105.24,0.0,Online travel agency,Cancelled,54
SYN-B000102,2023-01-13,2023-02-10,2023-02-14,SYN-FAM-03,Family,4.0,4,139.24,-1.0,Direct,Completed,28
SYN-B000103,2023-02-10,2023-02-11,2023-02-14,SYN-STA-06,Standard,2.0,3,64.64,193.92,Online travel agency,Completed,1
SYN-B000104,2023-01-19,2023-02-11,2023-02-14,SYN-DEL-01,Deluxe,2.0,3,102.51,0.0,Online travel agency,Cancelled,23
SYN-B000105,2023-01-25,2023-02-11,2023-02-14,SYN-DEL-05,Deluxe,1.0,3,98.75,296.25,Online travel agency,Completed,17
SYN-B000106,2023-01-12,2023-02-11,2023-02-13,SYN-FAM-01,Family,1.0,2,142.47,284.94,Direct,Completed,30
SYN-B000107,2023-01-22,2023-02-11,2023-02-15,SYN-FAM-02,Family,2.0,4,142.78,571.12,Direct,Completed,20
SYN-B000108,2023-01-31,2023-02-12,2023-02-15,SYN-STA-01,Standard,2.0,3,59.39,178.17,Travel agent,Completed,12
SYN-B000109,2023-02-01,2023-02-12,2023-02-14,SYN-STA-02,Standard,2.0,2,61.48,122.96,Travel agent,Completed,11
SYN-B000110,2023-01-23,2023-02-12,2023-02-15,SYN-STA-03,Standard,1.0,3,64.99,0.0,Travel agent,Cancelled,20
SYN-B000111,2023-02-11,2023-02-12,2023-02-18,SYN-STA-10,Standard,1.0,6,56.32,337.92,Online travel agency,Completed,1
SYN-B000112,2023-01-24,2023-02-12,2023-02-13,SYN-DEL-01,Deluxe,1.0,1,92.53,92.53,Online travel agency,Completed,19
SYN-B000113,2023-02-09,2023-02-12,2023-02-13,SYN-DEL-02,Deluxe,2.0,1,84.15,84.15,Travel agent,Completed,3
SYN-B000114,2023-02-03,2023-02-13,2023-02-14,SYN-STA-04,Standard,2.0,1,65.33,65.33,Direct,Completed,10
SYN-B000115,2023-01-13,2023-02-14,2023-02-16,SYN-STA-02,Standard,1.0,2,62.55,125.1,Direct,Completed,32
SYN-B000116,2023-02-04,2023-02-14,2023-02-17,SYN-DEL-03,Deluxe,1.0,3,91.06,273.18,Travel agent,Completed,10
SYN-B000117,2023-02-01,2023-02-14,2023-02-16,SYN-FAM-01,Family,2.0,2,119.9,239.8,Direct,Completed,13
SYN-B000118,2023-02-02,2023-02-15,2023-02-19,SYN-STA-01,Standard,2.0,4,61.11,244.44,Online travel agency,Completed,13
SYN-B000119,2022-12-20,2023-02-16,2023-02-18,SYN-STA-06,Standard,2.0,2,65.11,130.22,Direct,Completed,58
SYN-B000120,2023-02-02,2023-02-16,2023-02-18,SYN-DEL-02,Deluxe,2.0,2,86.59,173.18,Online travel agency,Completed,14
SYN-B000121,2023-02-05,2023-02-17,2023-02-19,SYN-STA-03,Standard,1.0,2,71.83,143.66,Direct,Completed,12
SYN-B000122,2023-02-14,2023-02-17,2023-02-19,SYN-STA-05,Standard,1.0,2,67.45,134.9,Direct,Completed,3
SYN-B000123,2023-02-15,2023-02-17,2023-02-18,SYN-FAM-03,Family,4.0,1,125.02,125.02,Online travel agency,Completed,2
SYN-B000124,2023-02-15,2023-02-18,2023-02-20,SYN-STA-04,Standard,2.0,2,67.14,134.28,Travel agent,Completed,3
SYN-B000125,2023-02-11,2023-02-18,2023-02-21,SYN-STA-08,Standard,2.0,3,67.17,201.51,Direct,Completed,7
SYN-B000126,2023-01-21,2023-02-18,2023-02-19,SYN-DEL-03,Deluxe,1.0,1,97.84,97.84,Direct,Completed,-1
SYN-B000127,2023-01-12,2023-02-19,2023-02-22,SYN-DEL-02,Deluxe,1.0,3,86.8,260.4,Online travel agency,Completed,38
SYN-B000128,2023-02-09,2023-02-20,2023-02-22,SYN-DEL-03,Deluxe,1.0,2,94.54,189.08,Online travel agency,Completed,11
SYN-B000129,2023-02-18,2023-02-21,2023-02-24,SYN-STA-01,Standard,2.0,3,54.95,0.0,Direct,Cancelled,3
SYN-B000130,2023-02-05,2023-02-21,2023-02-24,SYN-STA-08,Standard,2.0,3,65.53,196.59,Direct,Completed,16
SYN-B000131,2023-02-09,2023-02-22,2023-02-24,SYN-STA-01,Standard,2.0,2,64.39,128.78,Online travel agency,Completed,13
SYN-B000132,2023-02-14,2023-02-22,2023-02-25,SYN-FAM-02,Family,4.0,3,125.89,377.67,Direct,Completed,8
SYN-B000133,2023-02-14,2023-02-23,2023-02-25,SYN-STA-07,Standard,2.0,2,61.12,0.0,Online travel agency,Cancelled,9
SYN-B000134,2023-02-19,2023-02-23,2023-02-26,SYN-STA-09,Standard,2.0,3,65.13,-1.0,Online travel agency,Completed,4
SYN-B000135,2022-12-17,2023-02-23,2023-02-28,SYN-DEL-05,Deluxe,1.0,5,82.75,413.75,Online travel agency,Completed,68
SYN-B000136,2023-02-19,2023-02-24,2023-03-01,SYN-STA-02,Standard,2.0,5,66.13,330.65,Direct,Completed,5
SYN-B000137,2023-02-17,2023-02-24,2023-02-25,SYN-STA-04,Standard,1.0,1,70.82,70.82,Online travel agency,Completed,7
SYN-B000138,2023-01-07,2023-02-24,2023-02-27,SYN-DEL-02,Deluxe,2.0,3,104.54,313.62,Online travel agency,Completed,48
SYN-B000139,2023-02-16,2023-02-24,2023-02-27,SYN-DEL-04,Deluxe,1.0,3,103.1,309.3,Travel agent,Completed,8
SYN-B000140,2023-02-19,2023-02-25,2023-03-01,SYN-STA-04,Standard,1.0,4,67.4,269.6,Direct,Completed,6
SYN-B000141,2022-12-29,2023-02-25,2023-03-01,SYN-STA-07,Standard,2.0,4,69.65,278.6,Online travel agency,Completed,58
SYN-B000142,2023-01-17,2023-02-25,2023-03-01,SYN-DEL-01, deluxe ,2.0,4,98.34,393.36,Travel agent,Completed,39
SYN-B000143,2023-02-11,2023-02-25,2023-02-26,SYN-DEL-03,Deluxe,2.0,1,105.12,105.12,Online travel agency,Completed,14
SYN-B000144,2023-02-11,2023-02-25,2023-02-27,SYN-FAM-02,Family,1.0,2,133.37,266.74,Direct,Completed,14
SYN-B000145,2023-02-14,2023-03-01,2023-03-04,SYN-STA-01,Standard,1.0,3,73.35,0.0,Online travel agency,Cancelled,15
SYN-B000146,2023-02-21,2023-03-01,2023-03-02,SYN-STA-04,Standard,1.0,1,71.9,71.9,Direct,Completed,8
SYN-B000147,2023-02-17,2023-03-01,2023-03-04,SYN-STA-08,Standard,2.0,3,71.85,215.55,Travel agent,Completed,12
SYN-B000148,2023-02-27,2023-03-01,2023-03-04,SYN-FAM-03,Family,1.0,3,149.81,449.43,Online travel agency,Completed,2
SYN-B000149,2023-02-18,2023-03-02,2023-03-05,SYN-STA-03,Standard,1.0,3,74.23,222.69,Direct,Completed,12
SYN-B000150,2023-02-06,2023-03-02,2023-03-04,SYN-STA-06,Standard,1.0,2,77.37,0.0,Travel agent,Cancelled,24
SYN-B000151,2023-01-28,2023-03-02,2023-03-06,SYN-DEL-02,Deluxe,2.0,4,104.39,417.56,Direct,Completed,33
SYN-B000152,2023-02-24,2023-03-03,2023-03-05,SYN-STA-04,Standard,2.0,2,87.62,175.24,Online travel agency,Completed,7
SYN-B000153,2023-02-26,2023-03-03,2023-03-06,SYN-STA-07,Standard,2.0,3,79.85,239.55,Travel agent,Completed,5
SYN-B000154,2022-12-20,2023-03-03,2023-03-04,SYN-STA-09,Standard,2.0,1,77.4,77.4,Online travel agency,Completed,73
SYN-B000155,2023-02-19,2023-03-03,2023-03-06,SYN-FAM-02,Family,2.0,3,158.24,0.0,Online travel agency,Cancelled,12
SYN-B000156,2023-01-06,2023-03-04,2023-03-05,SYN-STA-06,Standard,1.0,1,80.06,80.06,Direct,Completed,57
SYN-B000157,2023-02-15,2023-03-04,2023-03-06,SYN-STA-08,Standard,1.0,2,84.31,168.62,Online travel agency,Completed,17
SYN-B000158,2023-02-25,2023-03-04,2023-03-06,SYN-STA-09,Standard,2.0,2,88.46,176.92,Direct,Completed,7
SYN-B000159,2023-02-14,2023-03-04,2023-03-07,SYN-STA-10,Standard,2.0,3,88.85,266.55,Online travel agency,Completed,18
SYN-B000160,2023-02-26,2023-03-04,2023-03-07,SYN-DEL-04,Deluxe,1.0,3,122.9,368.7,Online travel agency,Completed,6
SYN-B000161,2023-01-10,2023-03-04,2023-03-05,SYN-FAM-02,Family,3.0,1,154.42,154.42,Direct,Completed,53
SYN-B000162,2023-02-24,2023-03-06,2023-03-08,SYN-STA-02,Standard,1.0,2,72.87,145.74,Direct,Completed,10
SYN-B000163,2023-03-01,2023-03-06,2023-03-09,SYN-DEL-01,Deluxe,1.0,3,113.26,339.78,Direct,Completed,5
SYN-B000164,2023-02-03,2023-03-07,2023-03-10,SYN-STA-03,Standard,1.0,3,72.88,218.64,Direct,Completed,32
SYN-B000165,2023-03-04,2023-03-07,2023-03-08,SYN-STA-04,Standard,1.0,1,73.01,0.0,Direct,Cancelled,3
SYN-B000166,2023-03-02,2023-03-07,2023-03-08,SYN-STA-09,Standard,1.0,1,78.86,78.86,Online travel agency,Completed,5
SYN-B000167,2023-02-28,2023-03-08,2023-03-11,SYN-STA-06,Standard,2.0,3,77.69,233.07,Direct,Completed,8
SYN-B000168,2023-02-14,2023-03-08,2023-03-10,SYN-STA-08,Standard,2.0,2,74.03,148.06,Online travel agency,Completed,22
SYN-B000169,2023-02-17,2023-03-09,2023-03-11,SYN-STA-02,Standard,1.0,2,79.23,158.46,Online travel agency,Completed,20
SYN-B000170,2023-02-18,2023-03-09,2023-03-11,SYN-STA-07,Standard,2.0,2,78.87,157.74,Online travel agency,Completed,19
SYN-B000171,2023-03-03,2023-03-09,2023-03-12,SYN-STA-09,Standard,1.0,3,75.11,0.0,Online travel agency,Cancelled,6
SYN-B000172,2023-02-18,2023-03-09,2023-03-12,SYN-DEL-01,Deluxe,1.0,3,109.24,327.72,Online travel agency,Completed,19
SYN-B000173,2023-01-26,2023-03-09,2023-03-10,SYN-DEL-02,Deluxe,2.0,1,104.56,104.56,Online travel agency,Completed,42
SYN-B000174,2023-02-16,2023-03-10,2023-03-13,SYN-STA-01,Standard,1.0,3,82.38,247.14,Direct,Completed,22
SYN-B000175,2023-02-28,2023-03-10,2023-03-14,SYN-STA-04,Standard,2.0,4,81.95,327.8,Direct,Completed,10
SYN-B000176,2023-02-26,2023-03-10,2023-03-12,SYN-STA-08,Standard,1.0,2,82.44,164.88,Online travel agency,Completed,12
SYN-B000177,2023-01-08,2023-03-10,2023-03-14,SYN-FAM-03,Family,1.0,4,157.26,0.0, online travel agency ,Cancelled,61
SYN-B000178,2022-12-16,2023-03-11,2023-03-13,SYN-DEL-02,Deluxe,2.0,2,111.47,222.94,Online travel agency,Completed,85
SYN-B000179,2023-03-05,2023-03-11,2023-03-13,SYN-DEL-03,Deluxe,1.0,2,118.76,237.52,Online travel agency,Completed,6
SYN-B000180,2023-03-07,2023-03-11,2023-03-12,SYN-FAM-03,Family,2.0,-1,166.87,0.0,Direct,Cancelled,4
SYN-B000181,2023-02-19,2023-03-12,2023-03-14,SYN-FAM-01,Family,4.0,2,149.59,299.18,Direct,Completed,21
SYN-B000182,2023-02-16,2023-03-12,2023-03-13,SYN-FAM-03, family ,2.0,1,153.46,153.46,Direct,Completed,24
SYN-B000183,2023-03-04,2023-03-13,2023-03-14,SYN-STA-01,Standard,1.0,1,73.89,73.89,Online travel agency,Completed,9
SYN-B000184,2023-02-09,2023-03-13,2023-03-17,SYN-STA-02,Standard,2.0,4,71.12,284.48,Direct,Completed,32
SYN-B000185,2023-03-02,2023-03-13,2023-03-16,SYN-STA-07,Standard,1.0,3,72.61,217.83,Direct,Completed,11
SYN-B000186,2023-01-28,2023-03-13,2023-03-15,SYN-DEL-03,Deluxe,2.0,2,112.44,224.88,Online travel agency,Completed,44
SYN-B000187,2023-02-09,2023-03-14,2023-03-17,SYN-STA-08,Standard,2.0,3,71.86,215.58,Online travel agency,Completed,33
SYN-B000188,2023-02-08,2023-03-14,2023-03-17,SYN-STA-09,Standard,1.0,3,77.3,231.9,Direct,Completed,34
SYN-B000189,2023-03-06,2023-03-14,2023-03-17,SYN-DEL-01,Deluxe,1.0,3,111.27,333.81,Direct,Completed,8
SYN-B000190,2023-03-08,2023-03-15,2023-03-17,SYN-DEL-03,Deluxe,2.0,2,106.01,212.02,Travel agent,Completed,7
SYN-B000191,2023-03-07,2023-03-15,2023-03-18,SYN-DEL-05,Deluxe,2.0,3,114.33,342.99,Online travel agency,Completed,8
SYN-B000192,2023-03-09,2023-03-16,2023-03-18,SYN-STA-10,Standard,2.0,2,74.14,0.0,Online travel agency,Cancelled,7
SYN-B000193,2023-03-15,2023-03-17,2023-03-19,SYN-STA-05,Standard,1.0,2,84.93,0.0,Online travel agency,Cancelled,2
SYN-B000194,2023-01-25,2023-03-17,2023-03-21,SYN-STA-10,Standard,1.0,4,80.91,323.64,Direct,Completed,51
SYN-B000195,2023-02-12,2023-03-17,2023-03-18,SYN-DEL-04,Deluxe,2.0,1,127.23,127.23,Online travel agency,Completed,33
SYN-B000196,2023-03-04,2023-03-17,2023-03-21,SYN-FAM-01, family ,4.0,4,163.42,653.68,Online travel agency,Completed,13
SYN-B000197,2023-03-07,2023-03-17,2023-03-20,SYN-FAM-02,Family,4.0,3,158.06,474.18,Travel agent,Completed,10
SYN-B000198,2023-03-13,2023-03-18,2023-03-19,SYN-STA-06,Standard,1.0,1,81.25,0.0,Online travel agency,Cancelled,5
SYN-B000199,2023-02-04,2023-03-18,2023-03-19,SYN-STA-08,Standard,1.0,1,88.16,88.16,Direct,Completed,42
SYN-B000200,2023-03-06,2023-03-19,2023-03-23,SYN-STA-01,Standard,1.0,4,74.43,297.72,Online travel agency,Completed,13
SYN-B000201,2023-02-12,2023-03-19,2023-03-21,SYN-STA-07,Standard,1.0,2,79.05,158.1,Online travel agency,Completed,35
