booking_id,booking_date,check_in,check_out,room_id,room_type,guests,nights,room_rate,revenue,booking_channel,booking_status,lead_time,month,season,weekday,is_weekend
SYN-B000054,2023-04-18,2023-04-22,2023-04-24,SYN-FAM-01,Family Room,2,2,42.32,84.64,Online travel agency,Completed,4,4,Shoulder,Saturday,True
SYN-B000055,2023-03-31,2023-04-23,2023-04-26,SYN-STA-01,Standard Double,2,3,32.94,98.82,Direct,Completed,23,4,Shoulder,Sunday,False
SYN-B000056,2023-04-21,2023-04-23,2023-04-24,SYN-TWI-01,Twin Room,1,1,36.39,36.39,Direct,Completed,2,4,Shoulder,Sunday,False
SYN-B000057,2023-04-13,2023-04-24,2023-04-27,SYN-TWI-01,Twin Room,2,3,37.81,113.43,Online travel agency,Completed,11,4,Shoulder,Monday,False
SYN-B000058,2023-04-03,2023-04-27,2023-04-29,SYN-STA-01,Standard Double,1,2,32.98,65.96,Direct,Completed,24,4,Shoulder,Thursday,False
SYN-B000059,2023-04-09,2023-04-27,2023-05-01,SYN-TWI-01,Twin Room,,4,34.46,0.0,Online travel agency,Cancelled,18,4,Shoulder,Thursday,False
SYN-B000060,2023-04-14,2023-04-27,2023-04-30,SYN-FAM-01,Family Room,3,3,38.21,114.63,Travel agent,Completed,13,4,Shoulder,Thursday,False
SYN-B000061,2023-04-24,2023-04-29,2023-04-30,SYN-TWI-01,Twin Room,1,1,40.45,40.45,Direct,Completed,5,4,Shoulder,Saturday,True
SYN-B000062,2023-04-24,2023-04-30,2023-05-03,SYN-STA-01,Standard Double,1,3,35.95,107.85,Direct,Completed,6,4,Shoulder,Sunday,False
SYN-B000063,2023-04-22,2023-05-01,2023-05-04,SYN-SUP-01,Superior Double,1,3,42.92,128.76,Online travel agency,Completed,9,5,Shoulder,Monday,False
SYN-B000064,2023-04-27,2023-05-02,2023-05-03,SYN-FAM-01,Family Room,1,1,41.82,41.82,Online travel agency,Completed,5,5,Shoulder,Tuesday,False
SYN-B000065,2023-03-19,2023-05-04,2023-05-08,SYN-SUP-01,Superior Double,2,4,44.42,0.0,Online travel agency,Cancelled,46,5,Shoulder,Thursday,False
SYN-B000066,2023-04-03,2023-05-05,2023-05-08,SYN-SUP-01,Superior Double,,3,43.71,131.13,Travel agent,Completed,32,5,Shoulder,Friday,True
SYN-B000067,2023-04-16,2023-05-06,2023-05-07,SYN-FAM-01,Family Room,1,1,41.87,41.87,Direct,Completed,20,5,Shoulder,Saturday,True
SYN-B000068,2023-04-28,2023-05-08,2023-05-09,SYN-STA-01,Standard Double,1,1,33.09,33.09,Online travel agency,Completed,10,5,Shoulder,Monday,False
SYN-B000069,2023-04-26,2023-05-09,2023-05-11,SYN-TWI-01,Twin Room,2,2,38.09,76.18,Online travel agency,Completed,13,5,Shoulder,Tuesday,False
SYN-B000070,2023-03-30,2023-05-09,2023-05-10,SYN-SUP-01,Superior Double,2,1,43.74,0.0,Online travel agency,Cancelled,40,5,Shoulder,Tuesday,False
SYN-B000071,2023-04-06,2023-05-10,2023-05-12,SYN-SUP-01,Superior Double,2,2,40.97,81.94,Online travel agency,Completed,34,5,Shoulder,Wednesday,False
SYN-B000072,2023-04-30,2023-05-12,2023-05-14,SYN-STA-01,Standard Double,1,2,39.37,78.74,Direct,Completed,12,5,Shoulder,Friday,True
SYN-B000073,2023-05-03,2023-05-12,2023-05-14,SYN-TWI-01,Twin Room,2,2,40.63,81.26,Online travel agency,Completed,9,5,Shoulder,Friday,True
SYN-B000074,2023-05-05,2023-05-12,2023-05-14,SYN-SUP-01,Superior Double,1,2,45.46,90.92,Online travel agency,Completed,7,5,Shoulder,Friday,True
SYN-B000075,2023-04-23,2023-05-14,2023-05-15,SYN-SUP-01,Superior Double,1,1,40.3,40.3,Online travel agency,Completed,21,5,Shoulder,Sunday,False
SYN-B000076,2023-04-16,2023-05-15,2023-05-17,SYN-STA-01,Standard Double,2,2,35.45,70.9,Travel agent,Completed,29,5,Shoulder,Monday,False
SYN-B000077,2023-04-25,2023-05-16,2023-05-21,SYN-TWI-01,Twin Room,1,5,35.32,0.0,Direct,Cancelled,21,5,Shoulder,Tuesday,False
SYN-B000078,2023-05-13,2023-05-17,2023-05-21,SYN-TWI-01,Twin Room,2,4,35.82,0.0,Direct,Cancelled,4,5,Shoulder,Wednesday,False
SYN-B000079,2023-05-04,2023-05-17,2023-05-18,SYN-FAM-01,Family Room,2,1,39.13,39.13,Direct,Completed,13,5,Shoulder,Wednesday,False
SYN-B000080,2023-04-23,2023-05-19,2023-05-20,SYN-STA-01,Standard Double,2,1,37.57,0.0,Online travel agency,Cancelled,26,5,Shoulder,Friday,True
SYN-B000081,2023-05-01,2023-05-20,2023-05-24,SYN-FAM-01,Family Room,2,4,45.31,181.24,Online travel agency,Completed,19,5,Shoulder,Saturday,True
SYN-B000082,2023-04-27,2023-05-22,2023-05-23,SYN-STA-01,Standard Double,1,1,32.98,32.98,Online travel agency,Completed,25,5,Shoulder,Monday,False
SYN-B000083,2023-05-16,2023-05-22,2023-05-25,SYN-SUP-01,Superior Double,1,3,40.18,120.54,Direct,Completed,6,5,Shoulder,Monday,False
SYN-B000084,2023-05-10,2023-05-24,2023-05-29,SYN-STA-01,Standard Double,1,5,34.58,172.9,Direct,Completed,14,5,Shoulder,Wednesday,False
SYN-B000085,2023-04-26,2023-05-24,2023-05-28,SYN-FAM-01,Family Room,3,4,40.21,160.84,Online travel agency,Completed,28,5,Shoulder,Wednesday,False
SYN-B000086,2023-05-22,2023-05-26,2023-06-03,SYN-TWI-01,Twin Room,1,8,37.9,303.2,Direct,Completed,4,5,Shoulder,Friday,True
SYN-B000087,2023-05-16,2023-05-26,2023-05-29,SYN-SUP-01,Superior Double,1,3,42.68,0.0,Online travel agency,Cancelled,10,5,Shoulder,Friday,True
SYN-B000088,2023-05-16,2023-05-28,2023-05-30,SYN-SUP-01,Superior Double,1,2,40.26,80.52,Travel agent,Completed,12,5,Shoulder,Sunday,False
SYN-B000089,2023-05-09,2023-05-30,2023-05-31,SYN-SUP-01,Superior Double,1,1,42.82,42.82,Direct,Completed,21,5,Shoulder,Tuesday,False
SYN-B000090,2023-05-03,2023-05-31,2023-06-03,SYN-FAM-01,Family Room,1,3,42.4,127.2,Online travel agency,Completed,28,5,Shoulder,Wednesday,False
SYN-B000091,2023-04-16,2023-06-01,2023-06-06,SYN-STA-01,Standard Double,2,5,45.26,226.3,Online travel agency,Completed,46,6,High,Thursday,False
SYN-B000092,2023-05-03,2023-06-02,2023-06-08,SYN-SUP-01,Superior Double,2,6,56.93,341.58,Direct,Completed,30,6,High,Friday,True
SYN-B000093,2023-05-06,2023-06-03,2023-06-04,SYN-TWI-01,Twin Room,1,1,45.89,45.89,Online travel agency,Completed,28,6,High,Saturday,True
SYN-B000094,2023-05-19,2023-06-04,2023-06-08,SYN-TWI-01,Twin Room,2,4,46.28,185.12,Direct,Completed,16,6,High,Sunday,False
SYN-B000095,2023-05-30,2023-06-04,2023-06-09,SYN-FAM-01,Family Room,4,5,47.71,238.55,Direct,Completed,5,6,High,Sunday,False
SYN-B000096,2023-04-06,2023-06-06,2023-06-09,SYN-STA-01,Standard Double,1,3,40.87,122.61,Direct,Completed,61,6,High,Tuesday,False
SYN-B000097,2023-05-18,2023-06-08,2023-06-13,SYN-TWI-01,Twin Room,2,5,45.36,226.8,Direct,Completed,21,6,High,Thursday,False
SYN-B000098,2023-05-29,2023-06-09,2023-06-10,SYN-FAM-01,Family Room,3,1,53.47,53.47,Online travel agency,Completed,11,6,High,Friday,True
SYN-B000099,2023-06-01,2023-06-10,2023-06-13,SYN-FAM-01,Family Room,2,3,51.19,153.57,Online travel agency,Completed,9,6,High,Saturday,True
SYN-B000100,2023-04-08,2023-06-10,2023-06-15,SYN-SUP-01,Superior Double,1,5,51.48,0.0,Travel agent,Cancelled,63,6,High,Saturday,True
SYN-B000101,2023-06-02,2023-06-11,2023-06-14,SYN-SUP-01,Superior Double,2,3,50.2,150.6,Direct,Completed,9,6,High,Sunday,False
SYN-B000102,2022-12-18,2023-06-12,2023-06-14,SYN-STA-01,Standard Double,2,2,39.67,79.34,Direct,Completed,176,6,High,Monday,False
SYN-B000103,2023-06-10,2023-06-14,2023-06-16,SYN-STA-01,Standard Double,1,2,45.08,90.16,Direct,Completed,4,6,High,Wednesday,False
SYN-B000104,2023-05-02,2023-06-14,2023-06-16,SYN-TWI-01,Twin Room,2,2,45.42,90.84,Direct,Completed,43,6,High,Wednesday,False
SYN-B000105,2023-05-30,2023-06-14,2023-06-20,SYN-SUP-01,Superior Double,2,6,50.57,303.42,Direct,Completed,15,6,High,Wednesday,False
SYN-B000106,2023-05-17,2023-06-16,2023-06-19,SYN-STA-01,Standard Double,1,3,46.63,139.89,Travel agent,Completed,30,6,High,Friday,True
SYN-B000107,2023-06-01,2023-06-16,2023-06-20,SYN-TWI-01,Twin Room,2,4,47.89,191.56,Direct,Completed,15,6,High,Friday,True
SYN-B000108,2023-05-28,2023-06-16,2023-06-19,SYN-FAM-01,Family Room,1,3,56.12,168.36,Online travel agency,Completed,19,6,High,Friday,True
SYN-B000109,2023-06-03,2023-06-20,2023-06-25,SYN-TWI-01,Twin Room,1,5,42.44,212.2,Online travel agency,Completed,17,6,High,Tuesday,False
SYN-B000110,2023-05-17,2023-06-20,2023-06-22,SYN-SUP-01,Superior Double,2,2,51.7,103.4,Direct,Completed,34,6,High,Tuesday,False
SYN-B000111,2023-05-17,2023-06-21,2023-06-24,SYN-FAM-01,Family Room,4,3,52.13,156.39,Travel agent,Completed,35,6,High,Wednesday,False
SYN-B000112,2023-05-02,2023-06-23,2023-06-25,SYN-STA-01,Standard Double,1,2,47.86,95.72,Online travel agency,Completed,52,6,High,Friday,True
SYN-B000113,2023-04-30,2023-06-23,2023-06-26,SYN-SUP-01,Superior Double,2,3,55.37,166.11,Online travel agency,Completed,54,6,High,Friday,True
SYN-B000114,2023-06-06,2023-06-24,2023-06-28,SYN-FAM-01,Family Room,4,4,51.02,204.08,Direct,Completed,18,6,High,Saturday,True
SYN-B000115,2023-05-05,2023-06-25,2023-06-28,SYN-STA-01,Standard Double,1,3,46.1,138.3,Direct,Completed,51,6,High,Sunday,False
SYN-B000116,2023-05-17,2023-06-26,2023-07-01,SYN-SUP-01,Superior Double,1,5,55.39,276.95,Online travel agency,Completed,40,6,High,Monday,False
SYN-B000117,2023-05-14,2023-06-27,2023-07-01,SYN-TWI-01,Twin Room,1,4,42.62,0.0,Online travel agency,Cancelled,44,6,High,Tuesday,False
SYN-B000118,2023-04-30,2023-06-28,2023-07-03,SYN-STA-01,Standard Double,2,5,42.12,210.6,Travel agent,Completed,59,6,High,Wednesday,False
SYN-B000119,2023-04-28,2023-06-28,2023-07-01,SYN-TWI-01,Twin Room,1,3,44.04,132.12,Online travel agency,Completed,61,6,High,Wednesday,False
SYN-B000120,2023-06-06,2023-06-28,2023-07-05,SYN-FAM-01,Family Room,4,7,49.35,345.45,Direct,Completed,22,6,High,Wednesday,False
SYN-B000121,2023-05-25,2023-07-01,2023-07-02,SYN-TWI-01,Twin Room,1,1,49.25,49.25,Online travel agency,Completed,37,7,High,Saturday,True
SYN-B000122,2023-06-07,2023-07-01,2023-07-04,SYN-SUP-01,Superior Double,1,3,54.91,164.73,Travel agent,Completed,24,7,High,Saturday,True
SYN-B000123,2023-06-15,2023-07-02,2023-07-04,SYN-TWI-01,Twin Room,2,2,45.2,90.4,Online travel agency,Completed,17,7,High,Sunday,False
SYN-B000124,2023-01-15,2023-07-03,2023-07-09,SYN-STA-01,Standard Double,2,6,40.52,243.12,Online travel agency,Completed,169,7,High,Monday,False
SYN-B000125,2023-06-02,2023-07-04,2023-07-06,SYN-SUP-01,Superior Double,2,2,50.79,101.58,Online travel agency,Completed,32,7,High,Tuesday,False
SYN-B000126,2023-06-28,2023-07-05,2023-07-08,SYN-TWI-01,Twin Room,2,3,44.66,133.98,Online travel agency,Completed,7,7,High,Wednesday,False
SYN-B000127,2023-06-27,2023-07-06,2023-07-09,SYN-FAM-01,Family Room,3,3,47.31,141.93,Direct,Completed,9,7,High,Thursday,False
SYN-B000128,2023-05-25,2023-07-06,2023-07-09,SYN-SUP-01,Superior Double,2,3,52.05,156.15,Online travel agency,Completed,42,7,High,Thursday,False
SYN-B000129,2023-06-24,2023-07-08,2023-07-14,SYN-TWI-01,Twin Room,1,6,48.63,291.78,Direct,Completed,14,7,High,Saturday,True
SYN-B000130,2023-04-30,2023-07-09,2023-07-12,SYN-STA-01,Standard Double,2,3,43.07,129.21,Online travel agency,Completed,70,7,High,Sunday,False
SYN-B000131,2023-03-20,2023-07-09,2023-07-12,SYN-FAM-01,Family Room,3,3,49.16,147.48,Direct,Completed,111,7,High,Sunday,False
SYN-B000132,2023-06-08,2023-07-10,2023-07-13,SYN-SUP-01,Superior Double,2,3,52.82,158.46,Direct,Completed,32,7,High,Monday,False
SYN-B000133,2023-04-21,2023-07-12,2023-07-19,SYN-FAM-01,Family Room,3,7,46.39,324.73,Direct,Completed,82,7,High,Wednesday,False
SYN-B000134,2023-05-30,2023-07-13,2023-07-15,SYN-SUP-01,Superior Double,1,2,50.84,101.68,Direct,Completed,44,7,High,Thursday,False
SYN-B000135,2023-06-21,2023-07-15,2023-07-24,SYN-STA-01,Standard Double,1,9,46.72,420.48,Online travel agency,Completed,24,7,High,Saturday,True
SYN-B000136,2023-05-25,2023-07-15,2023-07-18,SYN-TWI-01,Twin Room,2,3,50.77,152.31,Online travel agency,Completed,51,7,High,Saturday,True
SYN-B000137,2023-06-23,2023-07-16,2023-07-19,SYN-SUP-01,Superior Double,1,3,51.22,153.66,Direct,Completed,23,7,High,Sunday,False
SYN-B000138,2023-07-01,2023-07-18,2023-07-19,SYN-TWI-01,Twin Room,1,1,45.98,45.98,Direct,Completed,17,7,High,Tuesday,False
SYN-B000139,2023-06-29,2023-07-19,2023-07-22,SYN-TWI-01,Twin Room,1,3,46.7,140.1,Direct,Completed,20,7,High,Wednesday,False
SYN-B000140,2023-06-20,2023-07-19,2023-07-23,SYN-FAM-01,Family Room,1,4,49.27,197.08,Online travel agency,Completed,29,7,High,Wednesday,False
SYN-B000141,2023-05-17,2023-07-20,2023-07-21,SYN-SUP-01,Superior Double,2,1,47.62,0.0,Travel agent,Cancelled,64,7,High,Thursday,False
SYN-B000142,2023-07-10,2023-07-22,2023-07-26,SYN-TWI-01,Twin Room,2,4,50.71,202.84,Direct,Completed,12,7,High,Saturday,True
SYN-B000143,2023-07-10,2023-07-22,2023-07-28,SYN-SUP-01,Superior Double,1,6,56.48,0.0,Online travel agency,Cancelled,12,7,High,Saturday,True
SYN-B000144,2023-06-18,2023-07-23,2023-07-28,SYN-FAM-01,Family Room,1,5,47.81,239.05,Direct,Completed,35,7,High,Sunday,False
SYN-B000145,2023-07-09,2023-07-24,2023-07-27,SYN-STA-01,Standard Double,1,3,45.24,135.72,Direct,Completed,15,7,High,Monday,False
SYN-B000146,2023-05-20,2023-07-26,2023-07-27,SYN-SUP-01,Superior Double,1,1,50.89,50.89,Direct,Completed,67,7,High,Wednesday,False
SYN-B000147,2023-06-15,2023-07-27,2023-08-03,SYN-STA-01,Standard Double,2,7,41.74,292.18,Online travel agency,Completed,42,7,High,Thursday,False
SYN-B000148,2023-06-14,2023-07-27,2023-08-02,SYN-TWI-01,Twin Room,1,6,43.32,259.92,Online travel agency,Completed,43,7,High,Thursday,False
SYN-B000149,2023-06-26,2023-07-30,2023-08-03,SYN-FAM-01,Family Room,3,4,51.73,206.92,Online travel agency,Completed,34,7,High,Sunday,False
SYN-B000150,2023-07-24,2023-08-01,2023-08-07,SYN-SUP-01,Superior Double,1,6,52.47,314.82,Online travel agency,Completed,8,8,High,Tuesday,False
SYN-B000151,2023-07-08,2023-08-02,2023-08-05,SYN-TWI-01,Twin Room,2,3,46.35,0.0,Travel agent,Cancelled,25,8,High,Wednesday,False
SYN-B000152,2023-07-02,2023-08-04,2023-08-08,SYN-STA-01,Standard Double,1,4,48.02,192.08,Travel agent,Completed,33,8,High,Friday,True
SYN-B000153,2023-07-11,2023-08-04,2023-08-08,SYN-FAM-01,Family Room,1,4,54.51,218.04,Online travel agency,Completed,24,8,High,Friday,True
SYN-B000154,2023-06-03,2023-08-07,2023-08-09,SYN-SUP-01,Superior Double,1,2,52.25,0.0,Direct,Cancelled,65,8,High,Monday,False
SYN-B000155,2023-07-09,2023-08-08,2023-08-11,SYN-STA-01,Standard Double,1,3,44.48,133.44,Online travel agency,Completed,30,8,High,Tuesday,False
SYN-B000156,2023-07-25,2023-08-08,2023-08-11,SYN-FAM-01,Family Room,3,3,48.48,145.44,Direct,Completed,14,8,High,Tuesday,False
SYN-B000157,2023-07-04,2023-08-09,2023-08-12,SYN-TWI-01,Twin Room,2,3,46.02,138.06,Direct,Completed,36,8,High,Wednesday,False
SYN-B000158,2023-02-16,2023-08-09,2023-08-13,SYN-SUP-01,Superior Double,2,4,50.5,0.0,Online travel agency,Cancelled,174,8,High,Wednesday,False
SYN-B000159,2023-06-17,2023-08-11,2023-08-14,SYN-FAM-01,Family Room,4,3,52.3,156.9,Online travel agency,Completed,55,8,High,Friday,True
SYN-B000160,2023-07-09,2023-08-11,2023-08-17,SYN-SUP-01,Superior Double,2,6,53.79,322.74,Online travel agency,Completed,33,8,High,Friday,True
SYN-B000161,2023-07-07,2023-08-12,2023-08-18,SYN-STA-01,Standard Double,2,6,44.42,266.52,Direct,Completed,36,8,High,Saturday,True
SYN-B000162,2023-07-18,2023-08-14,2023-08-18,SYN-TWI-01,Twin Room,1,4,44.53,178.12,Direct,Completed,27,8,High,Monday,False
SYN-B000163,2023-07-11,2023-08-15,2023-08-21,SYN-FAM-01,Family Room,4,6,50.49,302.94,Direct,Completed,35,8,High,Tuesday,False
SYN-B000164,2023-08-04,2023-08-18,2023-08-23,SYN-STA-01,Standard Double,2,5,50.0,250.0,Direct,Completed,14,8,High,Friday,True
SYN-B000165,2023-07-17,2023-08-19,2023-08-23,SYN-SUP-01,Superior Double,1,4,55.57,222.28,Direct,Completed,33,8,High,Saturday,True
SYN-B000166,2023-08-15,2023-08-20,2023-08-23,SYN-TWI-01,Twin Room,1,3,42.41,127.23,Online travel agency,Completed,5,8,High,Sunday,False
SYN-B000167,2023-07-04,2023-08-21,2023-08-24,SYN-FAM-01,Family Room,1,3,47.13,141.39,Direct,Completed,48,8,High,Monday,False
SYN-B000168,2023-06-20,2023-08-23,2023-08-27,SYN-STA-01,Standard Double,2,4,39.54,0.0,Online travel agency,Cancelled,64,8,High,Wednesday,False
SYN-B000169,2023-08-05,2023-08-23,2023-08-25,SYN-SUP-01,Superior Double,2,2,55.35,110.7,Online travel agency,Completed,18,8,High,Wednesday,False
SYN-B000170,2023-07-05,2023-08-24,2023-08-27,SYN-STA-01,Standard Double,1,3,41.22,123.66,Direct,Completed,50,8,High,Thursday,False
SYN-B000171,2023-08-09,2023-08-24,2023-08-30,SYN-TWI-01,Twin Room,2,6,42.53,255.18,Online travel agency,Completed,15,8,High,Thursday,False
